x,y,z,yaw,velocity,change_flag
351.8433,1028.2661,-13.5618,2.8582,5.1031,0
351.7303,1028.3036,-13.5567,2.8520,4.2949,0
351.6017,1028.3387,-13.5568,2.8427,4.8007,0
351.4879,1028.3738,-13.5743,2.8311,4.3253,0
351.3608,1028.4117,-13.5692,2.8164,4.7693,0
351.2389,1028.4678,-13.5752,2.8040,4.8494,0
351.1214,1028.4957,-13.5704,2.7922,4.3505,0
351.0021,1028.5312,-13.5708,2.7793,4.4791,0
350.7750,1028.6204,-13.5720,2.7471,5.2889,0
350.6317,1028.6947,-13.5883,2.7316,5.8437,0
350.4362,1028.7510,-13.5946,2.7014,4.5532,0
350.3256,1028.8118,-13.5833,2.6861,4.5610,0
350.2192,1028.8759,-13.6080,2.6717,4.5550,0
350.1107,1028.9186,-13.6106,2.6567,4.2006,0
350.0061,1028.9655,-13.6077,2.6397,4.1250,0
349.8865,1029.0455,-13.6263,2.6205,5.2232,0
349.7871,1029.0890,-13.5921,2.6015,4.0946,0
349.6708,1029.1674,-13.6168,2.5846,5.1338,0
349.5682,1029.2280,-13.6317,2.5669,4.3320,0
349.3797,1029.3375,-13.6362,2.5312,4.3887,0
349.2772,1029.4121,-13.6334,2.5129,4.5594,0
349.1825,1029.4838,-13.6392,2.4932,4.2854,0
349.0789,1029.5557,-13.6335,2.4730,4.5486,0
348.9842,1029.6285,-13.6237,2.4537,4.3146,0
348.8921,1029.7227,-13.6355,2.4365,4.7639,0
348.7963,1029.7858,-13.6311,2.4208,4.1306,0
348.6237,1029.9233,-13.6332,2.3828,4.6939,0
348.5309,1030.0165,-13.6311,2.3641,4.7346,0
348.4443,1030.0995,-13.6354,2.3456,4.3288,0
348.3742,1030.1783,-13.6390,2.3259,3.8036,0
348.2866,1030.2463,-13.6226,2.3049,4.0297,0
348.2105,1030.3468,-13.6340,2.2823,4.5516,0
348.1225,1030.4458,-13.6316,2.2606,4.7728,0
348.0467,1030.5378,-13.6271,2.2391,4.2975,0
347.9117,1030.7018,-13.6392,2.1891,5.2134,0
347.8579,1030.7919,-13.6390,2.1633,3.7750,0
347.7910,1030.8888,-13.6244,2.1378,4.2651,0
347.6834,1031.0625,-13.6245,2.0887,3.9407,0
347.5803,1031.2635,-13.6225,2.0399,4.6109,0
347.4883,1031.4081,-13.6199,1.9943,3.0251,0
347.4353,1031.5052,-13.6150,1.9720,3.9900,0
347.3776,1031.6835,-13.6094,1.9285,3.2672,0
347.3049,1031.8370,-13.6124,1.8869,3.4459,0
347.2639,1032.0244,-13.6110,1.8464,3.6711,0
347.2115,1032.2047,-13.6214,1.8067,3.2574,0
347.1654,1032.3630,-13.6052,1.7684,3.4203,0
347.1270,1032.4996,-13.6269,1.7316,2.8349,0
347.0946,1032.6794,-13.6065,1.6957,3.6172,0
347.0775,1032.7794,-13.6308,1.6782,3.7581,0
347.0814,1032.9203,-13.5990,1.6410,3.0503,0
347.0871,1033.0911,-13.5792,1.6074,3.3293,0
347.0444,1033.2126,-13.6289,1.5740,1.6061,0
347.0530,1033.3198,-13.6033,1.5586,3.9812,0
347.0425,1033.4496,-13.6105,1.5270,2.3272,0
347.0526,1033.5925,-13.5880,1.4971,2.3758,0
347.0685,1033.7516,-13.5954,1.4689,2.9738,0
347.0686,1033.8671,-13.5966,1.4384,1.9239,0
347.0820,1034.0391,-13.5886,1.4079,2.6599,0
